sample	hom_min	hom_max	hom_mid	het_min	het_max	het_mid	haploid_len_min_mb	haploid_len_max_mb	haploid_len_mid_mb	model_fit_min	model_fit_max	error_rate	inferred_ploidy
HERS6	93.9536	95.2316	94.59	4.76841	6.04638	5.41	430.0	446.3	438.1	25.4797	81.6311	1.66628	diploid
HERS8	93.4625	95.008	94.24	4.99199	6.53753	5.76	502.8	520.6	511.7	25.756	80.5827	1.52125	diploid
HERS9	90.6594	94.6126	92.64	5.38741	9.34055	7.36	801.7	824.9	813.3	29.1618	80.1931	0.86553	diploid
HERSA1	92.2542	94.675	93.46	5.32495	7.74575	6.54	776.9	800.1	788.5	26.1396	79.3251	1.18547	diploid
HH1	94.0795	95.3019	94.69	4.69812	5.92051	5.31	519.7	539.5	529.6	24.7127	81.6094	1.65694	diploid
HLH1	92.5956	94.7305	93.66	5.26953	7.40444	6.34	644.5	665.2	654.8	27.3156	79.019	1.23341	diploid
HLH2	89.7219	94.6988	92.21	5.30123	10.2781	7.79	917.7	940.9	929.3	30.3046	80.3583	0.694533	diploid
HLH3	92.4135	94.6945	93.55	5.30552	7.58648	6.45	649.2	669.7	659.5	26.7671	79.3011	1.21942	diploid
HM1	93.3334	94.9786	94.16	5.02139	6.66661	5.84	628.9	650.4	639.6	25.1052	80.8224	1.42747	diploid
HORZ1	93.851	95.2016	94.53	4.7984	6.14899	5.47	613.6	636.1	624.8	24.0892	81.6573	1.54793	diploid
HRS1	93.3205	94.9554	94.14	5.04459	6.67954	5.86	546.2	565.1	555.7	25.6638	80.3516	1.45192	diploid
HYB1	93.3778	95.0042	94.19	4.9958	6.6222	5.81	588.1	608.7	598.4	25.1303	81.0869	1.45967	diploid
JAN-1	94.3635	95.4747	94.92	4.52528	5.63651	5.08	518.7	539.5	529.1	23.2633	82.3293	1.68964	diploid
JG2	93.9861	95.2686	94.63	4.73136	6.01394	5.37	682.7	707.9	695.3	22.4563	81.3386	1.4838	diploid
JG3	92.8558	94.88	93.87	5.12004	7.14425	6.13	821.9	849.3	835.6	24.6771	81.6915	1.23744	diploid
KAZ1	93.2935	94.9199	94.11	5.08008	6.70651	5.89	591.4	611.4	601.4	26.1568	78.4658	1.2228	diploid
KAZ2	90.6315	94.5768	92.60	5.42321	9.36849	7.40	781.9	800.8	791.4	29.2309	80.9761	0.722177	diploid
KAZ3	89.6091	94.7975	92.20	5.20253	10.3909	7.80	844.8	864.4	854.6	30.6081	81.7959	0.607055	diploid
KAZ4	89.8148	94.6521	92.23	5.34792	10.1852	7.77	819.8	837.5	828.6	30.3846	81.161	0.59025	diploid
KAZ5	94.2098	95.3794	94.79	4.62056	5.79023	5.21	468.6	487.9	478.3	24.8291	81.6866	1.57311	diploid
KAZ6	93.4242	94.9767	94.20	5.02329	6.57577	5.80	604.1	625.7	614.9	25.727	77.5335	1.23155	diploid
KAZ7	94.7804	95.7383	95.26	4.2617	5.21962	4.74	346.6	362.1	354.3	24.3942	84.7468	1.84536	check_p4
KE1	92.5286	94.6985	93.61	5.30152	7.4714	6.39	709.1	730.1	719.6	25.7488	79.2865	1.07292	diploid
KIR2	95.2755	96.2758	95.78	3.72422	4.72446	4.22	183.1	192.9	188.0	24.4717	85.7763	2.35188	check_p4
KITA1	92.9098	94.8364	93.87	5.16358	7.09017	6.13	681.4	703.6	692.5	25.5575	80.1254	1.33166	diploid
KITA2	92.9801	94.8464	93.91	5.15363	7.01986	6.09	677.3	699.2	688.3	24.7364	78.943	1.25826	diploid
LAND1	94.7258	95.6985	95.21	4.30153	5.27418	4.79	364.1	380.2	372.1	24.0534	84.4008	1.81263	check_p4
LC1	93.4328	95.0062	94.22	4.99378	6.56718	5.78	635.9	657.8	646.9	25.0056	80.2677	1.45896	diploid
LDCAN1	90.3933	94.7162	92.55	5.28384	9.60666	7.45	850.0	870.1	860.0	28.5696	82.6154	0.614854	diploid
LDCAN2	94.2889	95.4162	94.85	4.58384	5.71113	5.15	499.7	519.9	509.8	23.2354	81.4001	1.3309	diploid
LMA1	94.785	95.738	95.26	4.26203	5.21502	4.74	495.0	516.4	505.7	22.693	83.7325	1.59176	diploid
LNZ1	93.4086	94.9686	94.19	5.0314	6.59137	5.81	569.6	589.7	579.7	26.261	77.6168	1.24856	diploid
LPIO25	92.7082	94.7691	93.74	5.23092	7.29179	6.26	751.4	775.1	763.2	25.5518	78.9953	1.00893	diploid
LPNB1	94.9533	95.8865	95.42	4.1135	5.04668	4.58	352.3	369.0	360.6	22.1303	84.4888	1.77321	check_p4
LUBL1	85.7069	96.2122	90.96	3.78784	14.2931	9.04	1131.0	1140.2	1135.6	37.0294	83.8184	0.293281	diploid
LUBL2	94.1063	95.3051	94.71	4.69491	5.89368	5.29	461.5	479.5	470.5	25.0601	81.8771	1.65507	diploid
LUC1	93.398	94.9784	94.19	5.02159	6.60198	5.81	544.8	563.9	554.3	25.6571	80.0721	1.4729	diploid
LUIO1	94.9356	95.8769	95.41	4.12313	5.06438	4.59	374.6	392.4	383.5	21.9087	84.343	1.71812	check_p4
LUMT11	93.7046	95.1367	94.42	4.8633	6.29538	5.58	599.8	623.0	611.4	23.6658	79.296	1.29138	diploid
LUMT1	94.5903	95.6289	95.11	4.37111	5.40974	4.89	441.0	460.4	450.7	23.0609	83.6124	1.60077	diploid
LUMT2	93.4812	95.0222	94.25	4.97785	6.51884	5.75	635.1	657.6	646.4	23.6877	79.2326	1.25288	diploid
LUMT3	94.0943	95.3221	94.71	4.67792	5.90574	5.29	563.4	586.1	574.8	23.4947	80.5479	1.39497	diploid
LUMT4	93.7351	95.1431	94.44	4.85688	6.26487	5.56	608.0	631.0	619.5	23.3103	79.5195	1.28652	diploid
LUND1	94.2834	95.4362	94.86	4.56376	5.71655	5.14	504.8	525.9	515.3	23.4363	81.5119	1.46852	diploid
LUND2	93.2769	94.9477	94.11	5.05233	6.72307	5.89	674.2	697.7	686.0	24.269	77.9021	1.12856	diploid
LUND3	92.3107	94.6665	93.49	5.33347	7.68933	6.51	786.4	809.6	798.0	25.4916	78.4048	0.915939	diploid
LUOR1	91.304	94.5343	92.92	5.46572	8.69597	7.08	865.7	887.8	876.8	27.395	79.5027	0.734148	diploid
LUOR2	94.3213	95.4613	94.89	4.53867	5.67866	5.11	506.2	527.8	517.0	22.6757	81.8224	1.46528	diploid
MO1	93.3679	94.9986	94.18	5.00137	6.63214	5.82	591.3	612.0	601.7	24.5009	80.5211	1.36071	diploid
MT1	92.5588	94.8157	93.69	5.18434	7.4412	6.31	841.6	869.6	855.6	25.1703	81.6433	1.20465	diploid
MTR1	92.0483	94.6587	93.35	5.34128	7.95165	6.65	774.4	797.8	786.1	26.6351	79.739	1.14043	diploid
NADW1	91.6365	94.5917	93.11	5.40825	8.36347	6.89	817.0	840.3	828.7	28.0533	79.6336	1.02624	diploid
NAZ1	93.3063	94.9417	94.12	5.05827	6.6937	5.88	603.2	623.6	613.4	23.6793	79.0767	1.08318	diploid
NAZ2	93.7227	95.1252	94.42	4.87478	6.2773	5.58	598.7	620.9	609.8	23.2758	79.5947	1.20802	diploid
NAZ3	93.4594	94.9952	94.23	5.00484	6.54059	5.77	582.1	603.0	592.5	25.1743	78.7322	1.30435	diploid
NB1	89.7595	94.7169	92.24	5.28315	10.2405	7.76	877.2	896.8	887.0	30.5536	81.613	0.627153	diploid
